Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
201,CS 528,High Performance Computing,0,12,20,26,41,9,4,3,1,0,0,0,0,0,116,Forwarded,Yes
202,CS 544,Topics in Networks,0,0,7,13,10,8,6,2,0,0,3,0,1,0,50,Forwarded,Yes
203,CS 558,Computer Systems Lab,4,16,34,6,2,0,0,0,0,0,5,0,0,0,67,Forwarded,Yes
204,CS 560,Virtual and Augmented Reality Systems,0,2,6,13,12,9,4,1,0,0,1,0,0,0,48,Forwarded,Yes
205,CS 561,Artificial Intelligence,3,10,26,33,19,16,15,5,3,0,3,0,0,0,133,Forwarded,Yes
206,CS 563,Neural Networks for NLP,0,5,0,11,1,4,0,4,0,0,0,0,0,0,25,Forwarded,No
207,CS 564,Computational Complexity,0,6,0,3,1,4,3,2,0,0,11,0,0,0,30,Forwarded,Yes
208,CS 577,C Based VLSI Design,0,18,24,42,25,24,21,16,0,0,7,0,2,4,183,Forwarded,Yes
209,CS 581,Blockchain science and technology,0,24,8,10,8,15,16,6,0,0,0,14,0,0,101,Forwarded,No
210,DA 213,Python Programming Laboratory,0,4,6,9,5,4,4,1,0,0,0,0,0,0,33,Forwarded,Yes
211,DA 214,Database Management Systems,0,3,9,16,4,1,0,0,0,0,0,0,1,2,36,Forwarded,No
212,DA 215,Database Management Systems Laboratory,0,7,10,9,4,2,1,0,0,0,0,0,0,0,33,Forwarded,No
213,DA 221,Introduction to  Artificial Intelligence,0,12,4,10,5,2,0,0,0,0,0,0,0,0,33,Forwarded,Yes
214,DA 221M,Artificial Intelligence,1,3,8,12,11,5,3,1,0,0,0,0,0,10,54,Forwarded,Yes
215,DA 243,Introduction to Optimization,2,3,7,8,4,4,3,2,0,0,0,0,0,0,33,Forwarded,No
216,DA 244,Applied Probability and Random Processes,3,3,7,6,7,1,2,1,0,0,3,0,1,0,34,Forwarded,No
217,DA 312,Advanced Machine Learning Laboratory,0,4,7,8,3,0,0,0,0,0,0,0,0,0,22,Forwarded,Yes
218,DA 322M,Deep Learning,0,3,8,9,8,7,2,4,0,0,3,0,1,3,48,Forwarded,No
219,DA 323,Multi-modal Data Processing and Learning - II,0,2,5,8,4,3,0,0,0,0,0,0,0,0,22,Forwarded,No
220,DA 324,Data Mining,0,5,10,6,1,0,0,0,0,0,0,0,0,0,22,Forwarded,Yes
221,DA 325,Deep Learning,0,2,3,11,3,3,0,0,0,0,0,0,0,0,22,Forwarded,Yes
222,DA 332,Data Visualization,0,6,4,10,2,0,0,0,0,0,0,0,0,0,22,Forwarded,Yes
223,DA 352,Privacy and Information Security,0,3,1,5,4,1,7,0,0,0,1,0,0,2,24,Forwarded,No
224,DA 353,Internet of Things,0,6,5,5,3,2,0,1,0,0,0,0,0,0,22,Forwarded,Yes
225,DA 526,Image Processing with Machine Learning,0,6,9,16,22,7,6,0,0,0,4,0,0,0,70,Forwarded,Yes
226,DA 531,Data Visualization Lab,0,6,2,4,3,2,0,0,1,0,0,0,0,0,18,Forwarded,Yes
227,DA 623,Computing with Signals,0,11,15,19,21,9,5,3,0,0,0,0,0,2,85,Forwarded,No
228,DA 624,NLP with Large Language Models,0,7,13,15,7,0,0,0,0,0,3,0,7,4,56,Forwarded,No
229,DA 671,Introduction to Reinforcement Learning,0,0,1,0,0,0,0,0,0,0,1,0,0,8,10,Forwarded,Yes
230,DD 111,"Forms, Order and Structure",0,28,19,8,0,0,0,0,0,0,0,0,0,0,55,Forwarded,No
231,DD 112,Principles of Visual Design,0,4,13,15,19,4,0,0,0,0,0,0,0,0,55,Forwarded,No
232,DD 113,Visualization and Illustrations,3,4,4,6,7,21,7,3,0,0,0,0,0,0,55,Forwarded,No
233,DD 212,Visual Narratives,3,8,15,14,7,3,2,0,0,0,0,0,0,0,52,Forwarded,No
234,DD 213,Art and Aesthetics in Design,0,0,13,14,12,6,3,4,0,0,0,0,0,0,52,Forwarded,No
235,DD 214,Design Workshop,1,25,16,11,0,0,0,0,0,0,0,0,0,0,53,Forwarded,No
236,DD 215,Cognitive Ergonomics,0,4,15,18,5,8,2,0,0,0,0,0,0,0,52,Forwarded,No
237,DD 220M,Introduction to Ergonomics,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,Forwarded,No
238,DD 303,Typography and Grid Systems,0,9,16,8,8,5,5,1,0,0,0,0,0,0,52,Forwarded,No
239,DD 311,Systems approach to Design,0,12,36,13,0,0,1,0,0,0,0,0,0,0,62,Forwarded,No
240,DD 312,Design Evaluation Methods,0,3,32,28,0,0,0,0,0,0,0,0,0,0,63,Not Processed,No
241,DD 320M,Product Planning and Strategy,0,7,5,3,3,0,0,0,0,0,0,0,0,1,19,Forwarded,No
242,DD 324,(PD) Plastics & Composites,0,2,2,2,0,0,0,0,0,0,1,0,0,0,7,Forwarded,No
243,DD 325,(VC) Graphic Communication,3,8,12,11,4,5,2,1,0,0,0,0,0,0,46,Forwarded,No
244,DD 326,(TD) Introduction to Automobile Design,0,6,3,0,0,1,0,0,0,0,0,0,0,3,13,Forwarded,No
245,DD 398,BDes Project II,3,27,18,7,3,1,0,1,0,0,0,4,0,0,64,Forwarded,No
246,DD 411,Design and Entrepreneurship,0,37,13,4,0,0,0,0,0,0,0,0,0,1,55,Forwarded,No
247,DD 498,Design Project III,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Forwarded,No
248,DD 499,BDes Project IV,4,23,9,7,4,2,2,0,0,0,0,1,0,0,52,Forwarded,No
249,DD 505,Form Studies,0,2,7,13,9,2,0,0,0,0,0,0,0,0,33,Forwarded,No
250,DD 506,Graphic Design,0,7,13,8,4,0,0,0,0,0,0,0,0,0,32,Forwarded,No
251,DD 507,Design Project,3,16,9,4,0,0,0,0,0,0,0,0,0,0,32,Forwarded,No
252,DD 509,Interaction Design,0,7,7,12,8,12,6,5,0,0,0,0,0,0,57,Forwarded,No
253,DD 517,Automobile Design,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,Forwarded,No
254,DD 524,Graphic Design Studio,0,2,15,7,0,0,0,0,0,0,0,0,0,0,24,Forwarded,No
255,DD 531,Game Design,1,1,5,7,0,0,0,0,0,0,0,0,0,8,22,Forwarded,No
256,DD 532,Motion Graphics,3,9,9,1,1,0,0,0,0,0,0,0,0,0,23,Forwarded,No
257,DD 546,Product Form and Structures,0,0,2,4,9,6,3,1,0,0,0,0,0,0,25,Forwarded,No
